id,category
Active Life,Active Life
Amateur Sports Teams,Active Life.Amateur Sports Teams
Amusement Parks,Active Life.Amusement Parks
Aquariums,Active Life.Aquariums
Archery,Active Life.Archery
Badminton,Active Life.Badminton
Basketball Courts,Active Life.Basketball Courts
Beaches,Active Life.Beaches
Bike Rentals,Active Life.Bike Rentals
Boating,Active Life.Boating
Bowling,Active Life.Bowling
Climbing,Active Life.Climbing
Disc Golf,Active Life.Disc Golf
Diving,Active Life.Diving
Free Diving,Active Life.Diving.Free Diving
Scuba Diving,Active Life.Diving.Scuba Diving
Fishing,Active Life.Fishing
Fitness & Instruction,Active Life.Fitness & Instruction
Barre Classes,Active Life.Fitness & Instruction.Barre Classes
Boot Camps,Active Life.Fitness & Instruction.Boot Camps
Boxing,Active Life.Fitness & Instruction.Boxing
Dance Studios,Active Life.Fitness & Instruction.Dance Studios
Gyms,Active Life.Fitness & Instruction.Gyms
Martial Arts,Active Life.Fitness & Instruction.Martial Arts
Pilates,Active Life.Fitness & Instruction.Pilates
Swimming Lessons/Schools,Active Life.Fitness & Instruction.Swimming Lessons/Schools
Tai Chi,Active Life.Fitness & Instruction.Tai Chi
Trainers,Active Life.Fitness & Instruction.Trainers
Yoga,Active Life.Fitness & Instruction.Yoga
Go Karts,Active Life.Go Karts
Golf,Active Life.Golf
Gun/Rifle Ranges,Active Life.Gun/Rifle Ranges
Gymnastics,Active Life.Gymnastics
Hang Gliding,Active Life.Hang Gliding
Hiking,Active Life.Hiking
Horse Racing,Active Life.Horse Racing
Horseback Riding,Active Life.Horseback Riding
Hot Air Balloons,Active Life.Hot Air Balloons
Kiteboarding,Active Life.Kiteboarding
Lakes,Active Life.Lakes
Laser Tag,Active Life.Laser Tag
Leisure Centers,Active Life.Leisure Centers
Mini Golf,Active Life.Mini Golf
Mountain Biking,Active Life.Mountain Biking
Paddleboarding,Active Life.Paddleboarding
Paintball,Active Life.Paintball
Parks,Active Life.Parks
